"age","gender","ownhome","married","location","salary","children","history","catalogs","amountspent"
"Middle","Male","Own","Married","Far",112269,1,"High",24,241
"Young","Female","Rent","Single","Far",17019,3,"Low",6,24.9
"Middle","Female","Own","Married","Close",86886,3,"Low",24,98.9
"Old","Female","Rent","Single","Close",100125,0,"Low",18,60.5
"Old","Female","Own","Married","Close",126072,0,"High",18,422
"Old","Female","Own","Married","Far",86839,0,"High",24,302.3
"Middle","Male","Own","Married","Close",60559,1,"None",12,1000
"Young","Female","Rent","Single","Far",17045,3,"None",12,44.5
"Young","Male","Rent","Married","Close",44153,3,"None",12,138.9
"Young","Female","Rent","Single","Close",38097,1,"Low",12,27.7
"Middle","Female","Own","Married","Far",116502,0,"High",18,451.4
"Middle","Male","Own","Single","Close",91616,0,"High",18,173.8
"Young","Male","Rent","Single","Close",28714,0,"None",18,75.7
"Middle","Female","Rent","Single","Close",46514,3,"Low",6,35.1
"Middle","Female","Own","Single","Close",65346,2,"Low",6,58.7
"Old","Female","Own","Single","Far",58704,0,"High",24,192.3
"Young","Female","Rent","Single","Close",18741,1,"Low",6,20.1
"Middle","Male","Own","Married","Far",122413,2,"High",18,359.9
"Middle","Male","Own","Single","Close",68782,1,"None",24,246.7
"Young","Female","Rent","Single","Close",20905,1,"None",18,139.5
"Young","Male","Rent","Single","Close",251216,0,"Low",24,71.1
"Middle","Male","Own","Single","Far",64729,2,"Medium",18,131.7
"Middle","Female","Rent","Single","Close",57076,3,"Low",12,37.9
"Old","Male","Own","Married","Close",62073,0,"Medium",12,156.7
"Middle","Female","Own","Married","Close",93322,0,"None",24,288.8
"Middle","Male","Own","Married","Far",130759,0,"High",12,246.5
"Old","Female","Rent","Married","Close",91090,0,"High",18,279.4
"Middle","Male","Own","Married","Far",154523,0,"High",12,509.7
"Old","Female","Own","Single","Close",34628,0,"Low",24,68.8
"Middle","Male","Rent","Single","Close",78341,0,"High",6,77.9
"Young","Female","Rent","Married","Far",90941,0,"None",6,115.8
"Middle","Male","Own","Single","Close",101072,0,"Medium",12,142
"Middle","Male","Own","Married","Far",92991,0,"High",12,277
"Old","Male","Own","Married","Close",78142,0,"High",6,201.7
"Old","Male","Own","Single","Close",52265,0,"Medium",18,86.8
"Old","Female","Rent","Single","Close",37798,0,"Low",12,89.1
"Young","Female","Rent","Married","Close",67276,0,"None",18,167.2
"Middle","Female","Own","Married","Close",94658,1,"None",12,188.9
"Old","Female","Own","Married","Close",41276,0,"Medium",6,54
"Young","Female","Rent","Married","Close",67114,0,"None",12,160
"Old","Female","Rent","Married","Close",52911,0,"Medium",6,220.3
"Middle","Female","Own","Married","Close",130138,1,"None",12,202.9
"Young","Male","Rent","Married","Close",51501,0,"Medium",6,103.6
"Middle","Male","Own","Married","Far",82852,1,"High",18,212.2
"Middle","Female","Own","Single","Close",76987,1,"None",12,207.9
"Middle","Female","Rent","Single","Far",44579,3,"Low",6,41.7
"Young","Female","Rent","Married","Close",45488,0,"None",6,68.3
"Middle","Female","Rent","Married","Close",124539,1,"None",18,277.8
"Young","Female","Own","Single","Close",41617,2,"Low",24,49.9
"Middle","Female","Rent","Married","Close",97890,2,"Medium",6,77.4
"Middle","Female","Own","Married","Close",43081,0,"Medium",24,115
"Young","Female","Rent","Single","Far",52918,2,"Low",18,27.2
"Young","Female","Rent","Single","Close",18909,1,"Low",6,29.5
"Old","Female","Own","Single","Close",71942,0,"None",6,135.9
"Middle","Male","Own","Married","Far",123007,0,"None",12,653.2
"Middle","Male","Own","Married","Far",124185,3,"High",18,188.8
"Young","Female","Rent","Single","Close",22341,1,"Low",6,31.3
"Young","Female","Rent","Single","Close",348037,1,"Low",6,25
"Middle","Male","Own","Married","Far",118989,1,"High",24,355.4
"Old","Female","Own","Married","Far",94592,0,"High",6,208.1
"Middle","Male","Own","Married","Close",92536,0,"High",24,205.8
"Middle","Male","Own","Married","Close",82597,0,"High",12,224.5
"Middle","Female","Rent","Married","Close",84240,3,"Low",6,32.9
"Young","Male","Rent","Married","Close",96946,3,"Low",6,27.9
"Young","Female","Rent","Married","Close",46526,1,"Medium",18,114.9
"Young","Female","Rent","Single","Close",442846,1,"None",12,1257.1
"Middle","Male","Own","Married","Close",108154,0,"Medium",18,92.9
"Old","Female","Rent","Married","Close",30065,1,"Low",6,45.3
"Middle","Male","Rent","Single","Far",64347,0,"High",24,212.8
"Middle","Male","Own","Single","Far",81052,1,"None",24,177.1
"Young","Female","Rent","Single","Close",27386,1,"Low",24,39.4
"Young","Male","Rent","Married","Far",28636,1,"Low",24,63.4
"Middle","Female","Rent","Married","Far",66916,3,"Medium",24,135.9
"Middle","Female","Own","Married","Far",107421,1,"None",24,261.2
"Middle","Female","Rent","Married","Far",129529,1,"High",24,595.2
"Young","Female","Rent","Single","Far",23653,1,"Low",18,150.2
"Young","Female","Rent","Married","Close",48665,0,"None",6,93.6
"Middle","Male","Rent","Single","Close",67088,0,"Medium",18,200.8
"Middle","Female","Rent","Single","Close",106206,0,"Medium",12,96.8
"Middle","Male","Own","Married","Close",107189,0,"High",18,359.9
"Middle","Female","Own","Single","Close",58943,0,"Medium",18,532.2
"Old","Male","Own","Single","Close",76223,0,"None",12,181.3
"Middle","Male","Own","Married","Close",120654,3,"Low",24,118.7
"Young","Female","Rent","Single","Close",34440,2,"None",6,24.4
"Young","Female","Rent","Single","Close",22177,0,"Low",12,50.7
"Old","Female","Rent","Married","Close",103289,0,"None",24,267.8
"Young","Female","Own","Single","Far",76458,3,"None",12,101.1
"Old","Male","Own","Married","Close",80771,1,"Medium",12,69.7
"Old","Female","Rent","Single","Far",23858,0,"Low",12,142
"Middle","Male","Rent","Married","Far",71968,1,"None",6,162.5
"Old","Male","Own","Married","Far",45319,0,"Medium",12,104.7
"Old","Female","Own","Married","Close",80516,0,"High",18,256.1
"Young","Male","Rent","Single","Far",32591,2,"Low",24,57.3
"Middle","Male","Rent","Married","Close",105220,0,"High",24,283
"Young","Male","Rent","Married","Far",59778,3,"Medium",24,165.8
"Old","Female","Own","Single","Close",79484,0,"Medium",24,112.9
"Young","Female","Own","Married","Far",366574,0,"None",6,75.1
"Young","Female","Rent","Single","Close",30051,3,"None",24,87.4
"Young","Male","Own","Single","Close",48166,0,"Medium",18,71.1
"Young","Female","Rent","Married","Close",83340,0,"High",24,179.2
"Old","Male","Own","Married","Close",119900,0,"High",12,183.4
"Young","Male","Rent","Single","Far",21114,0,"None",24,103.7
"Middle","Female","Rent","Married","Close",86684,1,"Medium",18,122.1
"Middle","Male","Own","Married","Far",433099,3,"High",18,215.4
"Old","Male","Rent","Married","Far",920150,0,"None",18,251.4
"Middle","Female","Own","Single","Close",103448,3,"Low",18,45.6
"Middle","Male","Own","Married","Close",244669,0,"High",24,173
"Young","Female","Rent","Married","Close",129568,0,"Low",18,42.8
"Young","Female","Rent","Single","Far",32062,1,"Low",6,465.9
"Young","Male","Rent","Single","Close",56530,0,"Low",24,77.6
"Old","Male","Rent","Single","Close",167550,0,"Low",6,54.3
"Old","Female","Rent","Single","Close",21748,1,"Low",24,78.5
"Old","Male","Own","Single","Close",72243,0,"High",18,153.9
"Middle","Female","Own","Married","Close",127772,1,"High",24,260.7
"Young","Female","Rent","Single","Far",25977,1,"Low",24,113
"Middle","Male","Own","Single","Close",64239,2,"Low",18,112.2
"Old","Male","Rent","Married","Close",96416,0,"High",18,229.8
"Young","Male","Rent","Single","Close",48552,1,"None",6,64.7
"Young","Female","Rent","Single","Close",90523,0,"Low",18,55.8
"Young","Female","Rent","Single","Close",19384,3,"Low",12,24.2
"Middle","Male","Rent","Single","Close",56890,0,"None",24,103.9
"Middle","Female","Rent","Married","Close",119595,1,"None",24,214
"Middle","Male","Own","Married","Close",108239,3,"Low",12,41.5
"Middle","Male","Own","Married","Close",104752,0,"None",12,172
"Middle","Male","Own","Married","Far",112195,2,"High",24,266.8
"Old","Male","Own","Single","Far",73554,0,"High",24,336.7
"Young","Female","Rent","Single","Close",43830,1,"Low",12,27.5
"Middle","Male","Own","Married","Close",114358,3,"Low",12,76.6
"Young","Female","Own","Married","Close",97383,0,"High",12,172.3
"Middle","Male","Rent","Married","Close",90419,1,"High",18,197.7
"Young","Female","Rent","Single","Far",21253,0,"Low",6,32.3
"Middle","Male","Own","Married","Close",118074,0,"None",6,77.7
"Middle","Male","Own","Married","Close",99563,1,"High",18,138.4
"Old","Female","Own","Married","Close",108719,0,"High",24,344.3
"Young","Male","Rent","Single","Close",48185,1,"None",24,48.3
"Middle","Female","Own","Single","Far",54994,0,"High",6,97.7
"Young","Female","Rent","Single","Close",36388,1,"Low",6,46.7
"Young","Female","Rent","Married","Far",38834,1,"None",18,134.8
"Middle","Male","Own","Married","Close",109357,0,"High",24,256.4
"Middle","Female","Own","Married","Close",112762,2,"Medium",12,164.5
"Middle","Male","Own","Married","Close",115553,2,"Medium",12,186.9
"Middle","Female","Own","Married","Close",70539,2,"Medium",24,99.5
"Old","Female","Own","Single","Close",48916,0,"None",12,166.6
"Old","Female","Own","Single","Close",315863,0,"Medium",12,125.1
"Middle","Female","Own","Married","Far",88121,0,"High",24,292.9
"Middle","Female","Rent","Single","Close",50700,0,"Medium",12,91.8
"Young","Male","Rent","Single","Far",46350,0,"None",12,66.4
"Young","Female","Rent","Single","Close",87804,1,"Low",6,32.4
"Middle","Female","Own","Married","Close",76258,1,"None",6,90
"Young","Male","Rent","Married","Close",62119,0,"Medium",12,325.2
"Old","Male","Own","Married","Far",64059,0,"High",24,233.7
"Middle","Male","Own","Married","Close",73971,1,"Medium",12,113.9
"Young","Male","Own","Single","Far",56728,0,"None",12,137.4
"Young","Male","Rent","Married","Far",130107,3,"None",6,133.7
"Middle","Male","Own","Single","Close",67358,1,"None",18,155.3
"Middle","Female","Own","Married","Far",114290,2,"High",18,238.6
"Middle","Female","Rent","Single","Close",41796,0,"None",18,170.1
"Middle","Male","Own","Single","Close",56395,3,"None",6,88.6
"Middle","Male","Rent","Married","Close",113357,2,"Medium",6,70.5
"Middle","Male","Rent","Single","Close",59057,1,"Medium",6,80.4
"Young","Female","Rent","Married","Close",33058,2,"Low",6,26.5
"Young","Male","Rent","Married","Far",56393,1,"Medium",18,141.8
"Old","Male","Own","Married","Close",67408,0,"Medium",18,91.5
"Young","Female","Own","Single","Close",47726,3,"None",12,47
"Middle","Male","Own","Married","Close",129938,1,"None",12,163.5
"Middle","Female","Own","Married","Close",137281,3,"None",6,215.3
"Old","Male","Rent","Single","Close",49198,0,"Medium",12,117.5
"Middle","Female","Own","Married","Far",129985,1,"High",12,263.8
"Young","Female","Rent","Single","Far",183474,2,"None",18,69.1
"Middle","Male","Rent","Married","Close",85240,2,"None",24,237.8
"Old","Female","Own","Single","Close",36740,0,"Medium",18,99.7
"Middle","Male","Own","Single","Close",64858,1,"None",24,263.2
"Middle","Male","Own","Single","Far",84257,0,"None",12,129.5
"Old","Male","Own","Married","Close",138711,0,"High",24,290.4
"Old","Male","Own","Single","Close",60447,1,"Medium",12,94.4
"Middle","Male","Own","Married","Close",110354,1,"High",12,177.4
"Middle","Male","Rent","Single","Far",106395,1,"None",6,114.5
"Young","Female","Rent","Married","Close",44002,1,"Low",6,38.2
"Young","Female","Rent","Single","Close",27961,1,"Low",12,130.1
"Middle","Female","Rent","Married","Close",107978,2,"Medium",12,131.7
"Middle","Female","Rent","Single","Close",55356,1,"None",12,95.2
"Old","Male","Own","Married","Close",33434,0,"Low",12,54
"Young","Female","Rent","Single","Close",24781,2,"Low",12,19.9
"Young","Female","Rent","Married","Close",47932,2,"Low",18,295.5
"Young","Male","Rent","Married","Far",47756,3,"None",24,139.7
"Young","Male","Rent","Single","Close",27104,0,"None",6,35.9
"Young","Female","Rent","Married","Close",79677,2,"Medium",6,89.1
"Middle","Male","Rent","Single","Close",70001,0,"High",24,130.4
"Middle","Male","Own","Married","Close",108252,1,"High",24,262.1
"Middle","Female","Own","Married","Close",62309,3,"None",18,101.6
"Middle","Male","Own","Single","Close",67206,0,"None",24,226.4
"Young","Male","Rent","Married","Far",51804,0,"High",24,212.5
"Middle","Male","Own","Single","Close",81047,1,"Medium",12,135.4
"Young","Female","Rent","Single","Close",34701,1,"None",24,127.9
"Middle","Female","Rent","Single","Close",50548,0,"Medium",12,101.6
"Young","Male","Rent","Single","Close",17606,2,"None",12,74.3
"Middle","Female","Own","Married","Close",78292,2,"Medium",24,91.2
"Young","Female","Own","Single","Far",50769,2,"Medium",12,67.1
"Old","Female","Own","Married","Far",84644,0,"High",18,347.9
"Middle","Male","Own","Married","Close",91069,0,"High",6,98.7
"Middle","Male","Own","Single","Far",86373,2,"High",18,250.6
"Middle","Male","Own","Married","Close",93220,2,"Medium",24,114
"Middle","Male","Rent","Married","Far",167006,3,"High",18,385.1
"Young","Male","Own","Single","Close",38133,0,"Medium",6,69.4
"Middle","Female","Own","Single","Close",59595,3,"None",6,59.6
"Old","Male","Own","Married","Far",22943,0,"Low",6,36.7
"Middle","Male","Own","Married","Close",85965,0,"None",6,178.8
"Young","Female","Rent","Single","Close",40550,3,"Low",6,16.3
"Middle","Female","Own","Married","Close",569491,2,"Medium",18,74.5
"Middle","Female","Own","Married","Close",107622,0,"High",24,243.3
"Old","Female","Rent","Married","Far",93550,0,"High",18,377.2
"Middle","Female","Own","Married","Close",93962,0,"High",18,231.2
"Middle","Female","Own","Single","Close",59216,1,"Medium",12,105
"Middle","Male","Rent","Single","Close",57779,3,"Low",24,40.8
"Old","Male","Own","Married","Close",81138,0,"High",18,211.8
"Middle","Female","Rent","Married","Close",79429,1,"Medium",6,60.6
"Middle","Male","Own","Married","Close",124789,1,"High",24,311.5
"Middle","Male","Own","Single","Close",71086,3,"Low",6,123
"Middle","Female","Rent","Married","Close",84966,2,"Medium",12,120.4
"Middle","Male","Own","Married","Far",110197,1,"High",24,279.2
"Middle","Female","Own","Married","Close",123229,0,"High",18,208.4
"Middle","Male","Own","Married","Far",93310,1,"None",12,132.1
"Middle","Male","Own","Married","Close",104773,1,"High",12,114.5
"Young","Female","Rent","Single","Close",18322,3,"None",6,60
"Middle","Male","Own","Married","Close",120342,2,"None",18,414.9
"Old","Female","Own","Single","Far",31845,1,"Low",6,43.5
"Middle","Female","Rent","Married","Close",52154,0,"Medium",24,133.8
"Middle","Female","Rent","Single","Close",59015,2,"None",12,205
"Middle","Male","Rent","Married","Close",158339,2,"None",12,228.2
"Young","Female","Rent","Single","Close",24681,1,"Low",6,15.3
"Young","Male","Rent","Married","Close",43017,0,"None",6,298.1
"Old","Male","Own","Married","Close",71748,0,"High",12,115.4
"Young","Female","Own","Single","Close",43647,1,"None",6,71.7
"Middle","Male","Own","Married","Far",87014,1,"None",6,149
"Middle","Female","Own","Single","Close",53692,1,"Medium",24,73.1
"Middle","Female","Rent","Married","Close",50253,2,"Low",18,68.7
"Old","Male","Own","Single","Close",91907,0,"High",12,155.2
"Young","Female","Rent","Single","Close",28812,1,"None",6,54.8
"Middle","Female","Rent","Married","Far",88742,1,"High",12,189.1
"Middle","Female","Rent","Married","Close",63151,0,"Medium",24,165.7
"Old","Female","Own","Single","Close",46011,0,"Medium",12,70.1
"Young","Female","Rent","Single","Close",18264,0,"Low",12,42.7
"Young","Male","Rent","Married","Close",100353,1,"Medium",12,116.6
"Young","Male","Rent","Single","Close",20514,3,"None",6,51.3
"Old","Male","Own","Married","Close",154806,0,"High",24,374.7
"Old","Female","Rent","Married","Far",70200,0,"High",18,244.8
"Middle","Female","Own","Single","Far",41623,2,"Medium",18,96.8
"Middle","Male","Own","Married","Close",87283,0,"High",6,155.6
"Old","Male","Own","Married","Close",62014,0,"None",24,209.8
"Old","Female","Rent","Single","Close",43801,1,"None",6,69.1
"Young","Female","Rent","Single","Far",24528,1,"Low",6,103.9
"Young","Male","Rent","Single","Close",30142,0,"Low",6,34.1
"Middle","Male","Own","Married","Far",71015,1,"High",24,171
"Middle","Male","Own","Married","Close",82769,2,"Medium",18,94.8
"Young","Male","Own","Married","Close",64767,0,"Medium",18,152.7
"Old","Female","Own","Married","Far",29467,0,"None",12,52.3
"Old","Female","Own","Married","Close",16200,1,"Low",6,20.9
"Young","Male","Rent","Single","Close",48006,0,"Low",18,39
"Middle","Female","Own","Married","Close",67829,1,"None",6,167.3
"Young","Female","Rent","Single","Far",26553,2,"Low",6,42.7
"Middle","Male","Own","Married","Far",98026,0,"High",24,321.3
"Middle","Male","Own","Married","Far",123278,1,"High",18,523.3
"Middle","Male","Own","Married","Far",125603,2,"None",12,402.9
"Middle","Male","Own","Married","Close",114003,1,"None",24,220.3
"Young","Male","Rent","Single","Close",18497,0,"None",6,39.1
"Young","Female","Rent","Married","Far",36340,0,"Medium",12,1000
"Middle","Female","Own","Single","Close",50740,1,"Medium",12,549.3
"Middle","Male","Own","Married","Close",125903,0,"High",18,376.3
"Old","Male","Own","Married","Close",59931,0,"Medium",24,132.9
"Middle","Male","Rent","Single","Far",102729,1,"None",6,150.5
"Middle","Male","Own","Single","Close",90153,0,"None",6,175.9
"Old","Male","Own","Married","Far",103881,0,"High",24,288.6
"Young","Male","Rent","Single","Far",37167,2,"None",6,25.8
"Middle","Female","Rent","Single","Far",50057,3,"Low",18,108.1
"Middle","Male","Own","Married","Close",106591,0,"High",6,614.3
"Young","Female","Rent","Married","Close",86361,1,"None",18,168.7
"Middle","Female","Rent","Married","Close",162866,1,"High",18,167.9
"Middle","Male","Own","Married","Close",109489,1,"None",12,311.3
"Young","Male","Rent","Single","Close",32319,0,"Low",12,40.4
"Middle","Male","Rent","Single","Close",86333,0,"High",24,211.5
"Young","Female","Rent","Single","Close",64253,3,"None",6,28
"Middle","Male","Own","Single","Close",51508,2,"Low",6,32.2
"Young","Female","Rent","Single","Close",42889,1,"None",12,67.1
"Middle","Male","Rent","Single","Far",227930,1,"Medium",12,88.8
"Old","Female","Own","Married","Close",86734,0,"High",12,156.6
"Young","Male","Rent","Single","Close",21769,0,"Low",6,31.6
"Young","Female","Rent","Single","Far",34721,2,"None",24,84.5
"Old","Male","Own","Married","Close",86505,0,"None",12,181.9
"Old","Male","Own","Married","Far",55440,0,"High",24,208.4
"Old","Female","Own","Single","Far",267493,0,"Medium",24,134.7
"Old","Female","Own","Single","Close",42190,0,"None",12,199.8
"Young","Female","Rent","Single","Close",46411,0,"None",18,38.2
"Middle","Male","Own","Married","Close",122059,1,"High",6,162.2
"Young","Female","Rent","Single","Far",71122,2,"Low",6,78.7
"Middle","Male","Own","Single","Close",68977,3,"Low",12,27
"Middle","Male","Own","Single","Far",75442,1,"None",18,99.2
"Middle","Male","Own","Married","Close",641684,0,"High",18,135.8
"Middle","Male","Own","Single","Close",58289,1,"None",24,1000
"Middle","Male","Own","Married","Close",81433,0,"High",12,127.9
"Middle","Female","Own","Single","Close",53444,1,"Medium",12,92.4
"Middle","Female","Own","Single","Close",68501,0,"None",12,122.5
"Middle","Male","Own","Single","Close",70708,0,"Medium",18,192.3
