"Gender","Ever_Married","Age","Graduated","Profession","Work_Experience","Spending_Score","Family_Size","Segmentation"
"Male","Yes",28,"Yes","Engineer",0,"Average",2,"A"
"Female","No",28,"Yes","Artist",7,"Low",3,"A"
"Male","No",20,"No","Healthcare",0,"Low",5,"B"
"Female","No",27,"No","Homemaker",8,"Low",1,"B"
"Female","No",56,"No","Engineer",NA,"Low",1,"A"
"Male","No",40,"No","Marketing",1,"Low",1,"B"
"Female","Yes",25,"Yes","Healthcare",NA,"Low",2,"B"
"Female","Yes",74,"No","Lawyer",NA,"High",2,"B"
"Female","No",23,"No","Healthcare",0,"Low",4,"B"
"Male","No",21,"No","Healthcare",0,"Low",4,"B"
"Female","No",38,"Yes","Artist",9,"Low",1,"A"
"Female","No",33,"Yes","",0,"Low",4,"B"
"Female","Yes",25,"Yes","Healthcare",1,"High",4,"A"
"Male","Yes",37,"Yes","Entertainment",7,"Low",2,"A"
"Male","No",22,"No","Doctor",1,"Low",3,"B"
"Male","Yes",41,"Yes","Artist",1,"Low",2,"A"
"Female","No",49,"No","Engineer",1,"Low",NA,"A"
"Male","Yes",47,"No","Artist",NA,"Average",4,"A"
"Female","Yes",82,"No","Lawyer",0,"Average",2,"A"
"Female","Yes",51,"No","Executive",NA,"Low",1,"A"
"Female","No",42,"No","Homemaker",11,"Low",NA,"A"
"Male","No",38,"Yes","Artist",8,"Low",3,"A"
"Male","Yes",18,"No","Executive",0,"High",4,"A"
"Female","No",46,"Yes","Doctor",1,"Low",NA,"A"
"Female","Yes",72,"No","Lawyer",1,"High",3,"B"
"Female","Yes",75,"No","Entertainment",2,"High",2,"B"
"Male","Yes",36,"Yes","Entertainment",6,"Low",6,"A"
"Male","Yes",40,"Yes","Artist",1,"Low",2,"A"
"Female","No",28,"Yes","Doctor",0,"Low",3,"B"
"Male","",19,"No","Entertainment",0,"High",3,"B"
"Female","Yes",69,"No","Engineer",9,"Low",3,"A"
"Female","No",22,"No","Healthcare",3,"Low",3,"B"
"Male","Yes",29,"Yes","Marketing",1,"High",2,"A"
"Male","No",32,"Yes","Artist",1,"Low",2,"A"
"Female","No",26,"Yes","Entertainment",1,"Low",1,"B"
"Male","No",26,"Yes","Healthcare",1,"Low",2,"A"
"Male","No",28,"No","Marketing",0,"Low",1,"B"
"Male","No",27,"No","Doctor",1,"Low",3,"B"
"Male","No",26,"No","Engineer",0,"Low",4,"B"
"Female","No",31,"No","Entertainment",0,"Low",2,"B"
"Female","Yes",43,"No","Engineer",1,"Low",3,"A"
"Male","Yes",25,"No","Doctor",1,"Low",2,"A"
"Male","Yes",40,"Yes","Artist",3,"High",3,"A"
"Female","Yes",27,"Yes","Healthcare",NA,"Low",2,"B"
"Male","No",27,"Yes","Healthcare",1,"Low",3,"B"
"Female","No",19,"No","Healthcare",1,"Low",2,"B"
"Male","Yes",55,"No","Executive",3,"Low",NA,"B"
"Male","Yes",43,"No","Executive",0,"High",4,"A"
"Male","Yes",36,"No","Doctor",6,"Low",3,"A"
"Female","No",30,"No","Homemaker",0,"Low",4,"B"
"Male","No",19,"No","Healthcare",0,"Low",4,"B"
"Male","Yes",89,"Yes","Lawyer",13,"Low",1,"A"
"Male","No",18,"No","Healthcare",NA,"Low",4,"B"
"Male","No",25,"Yes","Doctor",6,"Low",1,"B"
"Female","No",45,"Yes","Artist",4,"Low",1,"A"
"Female","No",35,"Yes","Artist",3,"Low",1,"A"
"Female","Yes",37,"No","Engineer",7,"Low",1,"B"
"Female","No",32,"Yes","Healthcare",1,"Low",5,"B"
"Female","No",36,"Yes","Entertainment",10,"Low",2,"A"
"Female","No",30,"No","Healthcare",8,"Low",3,"A"
"Male","No",19,"No","Healthcare",1,"Low",5,"B"
"Male","No",27,"Yes","Healthcare",0,"Low",2,"A"
"Female","No",38,"Yes","Doctor",14,"Low",1,"A"
"Male","Yes",55,"No","Artist",0,"Low",1,"A"
"Female","Yes",69,"Yes","Engineer",1,"Low",1,"A"
"Female","Yes",83,"Yes","Lawyer",0,"Low",3,"A"
"Female","No",39,"Yes","Healthcare",9,"Low",1,"B"
"Male","Yes",35,"Yes","Artist",9,"Low",1,"A"
"Female","No",26,"No","Doctor",0,"Low",1,"B"
"Male","No",36,"Yes","Engineer",8,"Low",1,"A"
"Female","No",22,"No","Homemaker",0,"Low",4,"B"
"Male","No",19,"No","Marketing",0,"Low",5,"A"
"Female","Yes",20,"Yes","Lawyer",1,"Average",3,"A"
"Male","No",43,"Yes","Healthcare",3,"Low",3,"B"
"Female","No",42,"Yes","Artist",NA,"Low",3,"A"
"Male","No",43,"Yes","Entertainment",1,"Low",2,"A"
"Male","No",25,"Yes","Entertainment",1,"Low",2,"A"
"Female","Yes",28,"Yes","Healthcare",0,"Average",2,"A"
"Male","No",38,"Yes","Artist",1,"Low",1,"B"
"Male","No",25,"No","Executive",12,"Low",3,"A"
"Female","No",18,"No","Healthcare",9,"Low",5,"B"
"Female","No",60,"Yes","Entertainment",1,"Low",2,"B"
"Male","Yes",75,"Yes","Lawyer",2,"Low",1,"B"
"Female","No",31,"No","Doctor",NA,"Low",4,"B"
"Male","No",23,"No","Doctor",6,"Low",4,"B"
"Male","No",36,"Yes","Artist",8,"Low",1,"A"
"Male","Yes",39,"Yes","Entertainment",0,"Low",1,"B"
"Female","No",35,"No","Artist",5,"Low",1,"A"
"Female","No",25,"Yes","Artist",0,"Low",6,"A"
"Male","Yes",35,"Yes","Artist",1,"High",3,"A"
"Female","No",31,"No","Healthcare",NA,"Low",2,"B"
"Female","No",26,"Yes","Artist",9,"Low",1,"A"
"Female","Yes",30,"Yes","Artist",8,"Low",4,"A"
"Female","No",28,"Yes","Artist",NA,"Low",1,"B"
"Female","Yes",89,"No","Lawyer",3,"High",1,"B"
"Female","Yes",37,"Yes","Entertainment",6,"Average",3,"A"
"Male","Yes",29,"No","Executive",1,"Average",3,"B"
"Female","No",25,"No","Engineer",1,"Low",1,"B"
"Male","No",29,"No","Healthcare",1,"Low",NA,"B"
"Female","No",19,"No","Healthcare",2,"Low",3,"B"
"Female","No",21,"No","Healthcare",7,"Low",NA,"B"
"Male","No",42,"No","Marketing",1,"Low",5,"B"
"Male","Yes",72,"No","Engineer",1,"Low",1,"A"
"Female","No",27,"No","Homemaker",9,"Low",1,"B"
"Female","No",23,"No","Healthcare",1,"Low",3,"B"
"Female","Yes",50,"Yes","Entertainment",7,"Low",3,"A"
"Female","No",62,"No","Entertainment",2,"Low",1,"A"
"Female","No",27,"Yes","Doctor",1,"Low",3,"A"
"Male","Yes",57,"Yes","Entertainment",1,"Low",NA,"A"
"Female","Yes",30,"No","Engineer",1,"Average",7,"A"
"Male","No",32,"No","Healthcare",7,"Low",4,"A"
"Male","No",18,"","Executive",NA,"Low",5,"A"
"Female","No",32,"Yes","Artist",4,"Low",4,"A"
"Female","Yes",32,"No","Engineer",5,"Low",3,"A"
"Male","No",31,"No","Entertainment",1,"Low",1,"A"
"Male","Yes",42,"Yes","Artist",0,"Low",3,"A"
"Female","No",18,"No","",0,"Low",6,"B"
"Female","Yes",72,"No","Lawyer",1,"Low",3,"A"
"Male","Yes",47,"Yes","Artist",NA,"Low",3,"A"
"Female","No",40,"No","Engineer",9,"Low",5,"A"
"Female","No",36,"Yes","Engineer",4,"Low",1,"A"
"Male","No",30,"No","Healthcare",4,"Low",4,"B"
"Male","No",28,"Yes","Engineer",0,"Low",5,"B"
"Male","",22,"No","Healthcare",NA,"Low",2,"B"
"Male","Yes",85,"No","Lawyer",NA,"Low",1,"B"
"Male","No",26,"No","Artist",6,"Low",6,"B"
"Female","No",20,"No","Doctor",4,"Low",4,"B"
"Male","No",28,"No","Healthcare",0,"Low",2,"A"
"Male","No",38,"No","Artist",2,"Low",2,"A"
"Male","Yes",42,"No","Marketing",0,"High",6,"A"
"Female","No",29,"No","Engineer",1,"Low",4,"B"
"Male","No",32,"Yes","Doctor",0,"Low",4,"A"
"Male","Yes",38,"No","Executive",NA,"High",5,"B"
"Male","No",22,"No","Healthcare",0,"Low",2,"B"
"Female","No",26,"No","Homemaker",9,"Low",NA,"B"
"Female","No",32,"Yes","Healthcare",0,"Low",3,"A"
"Male","No",67,"No","Lawyer",NA,"Low",2,"B"
"Female","Yes",68,"Yes","Lawyer",0,"High",2,"A"
"Female","Yes",48,"Yes","Entertainment",2,"Low",1,"A"
"Male","Yes",33,"Yes","Healthcare",9,"Low",2,"B"
"Male","Yes",31,"No","Healthcare",0,"Average",5,"B"
"Male","Yes",32,"Yes","Healthcare",1,"Low",2,"B"
"Female","No",21,"No","Healthcare",1,"Low",4,"B"
"Female","No",29,"No","Homemaker",2,"Low",4,"B"
"Female","Yes",35,"Yes","Artist",1,"Low",2,"A"
"Male","Yes",46,"No","Artist",0,"Low",3,"A"
"Female","No",28,"Yes","Artist",3,"Low",7,"A"
"Female","Yes",68,"Yes","Lawyer",3,"Low",1,"A"
"Male","No",28,"No","Entertainment",1,"Low",2,"A"
"Female","No",32,"No","Healthcare",12,"Low",3,"A"
"Female","Yes",42,"No","Homemaker",3,"Average",4,"B"
"Male","No",22,"No","",NA,"Low",6,"B"
"Female","No",18,"No","Healthcare",6,"Low",4,"B"
"Female","Yes",29,"Yes","Healthcare",8,"Low",3,"B"
"Female","No",33,"Yes","Healthcare",0,"Low",3,"A"
"Male","No",47,"No","Artist",1,"Low",NA,"A"
"Female","Yes",57,"Yes","Doctor",1,"Low",2,"A"
"Male","Yes",36,"Yes","Executive",1,"Low",3,"B"
"Male","No",18,"No","Healthcare",1,"Low",2,"B"
"Male","No",36,"Yes","Marketing",0,"Low",1,"A"
"Female","No",29,"Yes","Healthcare",9,"Low",3,"A"
"Male","Yes",52,"Yes","Entertainment",1,"Average",4,"A"
"Female","Yes",49,"Yes","Homemaker",14,"Low",1,"A"
"Male","Yes",42,"No","Entertainment",1,"Low",3,"A"
"Female","No",42,"Yes","Healthcare",8,"Low",1,"B"
"Female","No",33,"Yes","Healthcare",8,"Low",1,"A"
"Male","No",27,"Yes","Healthcare",NA,"Low",3,"B"
"Female","No",21,"No","Healthcare",0,"Low",4,"B"
"Female","No",42,"Yes","Doctor",0,"Low",1,"A"
"Female","No",28,"No","Doctor",14,"Low",1,"A"
"Male","Yes",45,"Yes","Doctor",1,"Average",2,"A"
"Female","No",39,"No","Engineer",0,"Low",3,"A"
"Male","No",26,"No","Marketing",0,"Low",5,"B"
"Male","No",30,"Yes","Doctor",1,"Low",3,"B"
"Male","Yes",51,"Yes","Homemaker",1,"Low",NA,"A"
"Male","No",57,"Yes","Marketing",1,"Low",4,"A"
"Female","No",31,"Yes","Healthcare",1,"Low",1,"B"
"Male","No",39,"Yes","Artist",0,"Low",1,"A"
"Female","No",30,"No","Engineer",0,"Low",4,"A"
"Female","Yes",43,"No","Artist",0,"Average",3,"A"
"Male","Yes",69,"Yes","Lawyer",NA,"Low",1,"A"
"Male","Yes",28,"No","Entertainment",8,"Average",4,"B"
"Male","No",43,"Yes","Entertainment",9,"Low",1,"B"
"Female","No",27,"No","Healthcare",NA,"Low",5,"B"
"Female","No",28,"Yes","Healthcare",1,"Low",3,"B"
"Male","No",33,"No","Artist",NA,"Low",4,"B"
"Male","No",58,"No","Healthcare",4,"Low",2,"B"
"Female","No",38,"Yes","Engineer",8,"Low",4,"A"
"Female","No",31,"Yes","Artist",1,"Low",4,"B"
"Male","Yes",32,"No","Executive",4,"Average",5,"B"
"Male","Yes",66,"Yes","Artist",1,"Low",3,"A"
"Male","No",20,"No","Healthcare",1,"Low",6,"B"
"Female","No",41,"Yes","Marketing",NA,"Low",1,"B"
"Male","Yes",57,"Yes","Entertainment",8,"Average",5,"A"
"Female","No",33,"No","Doctor",0,"Low",1,"A"
"Male","No",25,"No","Marketing",3,"Low",3,"B"
"Male","Yes",55,"Yes","Artist",NA,"Average",3,"A"
"Female","Yes",56,"Yes","Executive",NA,"High",4,"A"
"Male","Yes",30,"Yes","Healthcare",1,"Low",2,"A"
"Male","No",23,"No","Healthcare",6,"Low",5,"B"
"Male","No",39,"Yes","Entertainment",5,"Low",1,"A"
"Male","Yes",29,"No","Executive",1,"High",2,"B"
"Male","Yes",37,"Yes","Doctor",NA,"Low",2,"B"
"Female","Yes",45,"No","Engineer",2,"Low",2,"B"
"Male","Yes",48,"No","Executive",2,"High",2,"B"
"Male","Yes",27,"No","Entertainment",0,"Average",4,"A"
"Male","No",31,"Yes","Healthcare",NA,"Low",1,"B"
"Male","",18,"No","",6,"High",4,"B"
"Female","Yes",83,"No","Lawyer",NA,"Low",2,"A"
"Male","Yes",57,"Yes","Executive",NA,"Low",4,"A"
"Male","No",26,"Yes","Healthcare",NA,"Low",3,"B"
"Male","Yes",51,"Yes","Artist",8,"Low",5,"A"
"Male","No",21,"No","Healthcare",9,"Low",5,"B"
"Female","No",18,"No","Healthcare",NA,"Low",3,"B"
"Male","Yes",85,"No","Lawyer",NA,"Low",1,"B"
"Female","No",21,"No","Marketing",1,"Low",5,"B"
"Female","Yes",48,"Yes","Artist",1,"Low",1,"A"
"Female","No",37,"Yes","Entertainment",6,"Low",NA,"A"
"Male","No",28,"No","Healthcare",1,"Low",5,"B"
"Male","Yes",55,"Yes","Entertainment",1,"Low",2,"A"
"Male","No",21,"No","Healthcare",1,"Low",4,"B"
"Male","No",18,"No","Healthcare",0,"Low",6,"B"
"Male","No",31,"Yes","Healthcare",0,"Low",4,"B"
"Female","No",30,"Yes","Artist",0,"Low",3,"A"
"Female","Yes",41,"Yes","Artist",0,"Low",4,"A"
"Male","Yes",41,"","Executive",6,"High",2,"A"
"Female","Yes",35,"No","Healthcare",2,"Low",1,"A"
"Male","Yes",37,"Yes","Healthcare",0,"Low",1,"B"
"Male","Yes",60,"Yes","Entertainment",0,"Low",NA,"B"
"Female","No",26,"No","Marketing",3,"Low",3,"A"
"Male","Yes",62,"No","",7,"High",2,"B"
"Male","No",22,"No","Healthcare",0,"Low",4,"B"
"Female","No",19,"No","Healthcare",0,"Low",3,"B"
"Female","No",31,"No","Doctor",0,"Low",4,"B"
"Female","Yes",62,"","Lawyer",8,"Low",5,"A"
"Male","Yes",46,"No","Entertainment",0,"Average",3,"A"
"Male","Yes",25,"Yes","Executive",1,"High",2,"A"
"Male","No",27,"Yes","Marketing",1,"Low",2,"A"
"Male","Yes",87,"No","Executive",1,"Low",2,"A"
"Female","Yes",47,"Yes","Artist",0,"Low",1,"A"
"Male","Yes",60,"Yes","Artist",0,"Average",4,"A"
"Female","No",32,"Yes","Doctor",7,"Low",NA,"A"
"Male","No",28,"Yes","Healthcare",2,"Low",3,"B"
"Female","No",47,"Yes","Marketing",9,"Low",1,"B"
"Male","No",28,"No","Entertainment",1,"Low",NA,"A"
"Male","Yes",69,"Yes","Artist",0,"Average",3,"A"
"Female","No",42,"Yes","Artist",0,"Low",1,"B"
"Female","Yes",46,"Yes","Engineer",1,"Low",1,"B"
"Female","Yes",71,"No","Lawyer",1,"High",3,"B"
"Female","No",26,"No","Doctor",0,"Low",2,"B"
"Female","No",18,"No","Healthcare",1,"Low",3,"B"
"Male","Yes",26,"Yes","Doctor",1,"Average",2,"A"
"Male","Yes",53,"Yes","Artist",1,"High",2,"B"
"Male","Yes",76,"No","Executive",NA,"Low",7,"B"
"Male","Yes",26,"Yes","Entertainment",0,"Average",3,"A"
"Female","No",37,"Yes","Artist",12,"Low",2,"A"
"Female","No",21,"No","Engineer",0,"Low",5,"B"
"Female","No",25,"No","Healthcare",0,"Low",4,"B"
"Male","No",23,"No","Healthcare",4,"Low",5,"B"
"Female","No",30,"Yes","Healthcare",1,"Low",6,"B"
"Female","No",30,"No","Doctor",0,"Low",4,"B"
"Male","Yes",42,"No","Entertainment",0,"Average",4,"A"
"Female","Yes",81,"No","Lawyer",NA,"High",2,"B"
"Male","No",32,"No","Healthcare",0,"Low",3,"A"
"Male","Yes",26,"No","Executive",9,"High",4,"B"
"Male","Yes",88,"No","Executive",0,"Low",1,"A"
"Female","No",40,"Yes","Healthcare",8,"Low",4,"B"
"Male","No",18,"No","Healthcare",7,"Low",3,"B"
"Male","Yes",39,"Yes","",5,"Average",3,"A"
"Female","Yes",25,"No","Engineer",0,"Average",2,"A"
"Male","Yes",48,"Yes","Entertainment",9,"Low",1,"B"
"Male","Yes",75,"Yes","Lawyer",1,"Low",2,"B"
"Male","No",23,"No","Healthcare",1,"Low",3,"B"
"Male","No",29,"No","Doctor",1,"Low",2,"B"
"Female","No",61,"Yes","Marketing",1,"Low",1,"B"
"Female","No",23,"No","Healthcare",6,"Low",5,"B"
"Male","No",21,"No","Healthcare",NA,"Low",8,"B"
"Female","No",33,"No","Healthcare",7,"Low",4,"B"
"Male","Yes",74,"No","Executive",0,"Low",NA,"B"
"Male","No",41,"No","Entertainment",0,"Low",2,"B"
"Male","Yes",25,"Yes","Entertainment",8,"Average",2,"A"
"Male","No",33,"No","Marketing",2,"Low",3,"B"
"Male","Yes",43,"No","Doctor",0,"Low",2,"A"
"Male","Yes",25,"No","Executive",1,"Low",2,"B"
"Female","No",26,"No","Engineer",0,"Low",1,"A"
"Male","No",22,"No","Healthcare",1,"Low",5,"B"
"Male","Yes",28,"No","Artist",0,"Average",2,"B"
"Female","No",36,"Yes","Entertainment",7,"Low",1,"A"
"Male","Yes",85,"Yes","Artist",1,"High",4,"A"
"Male","No",30,"Yes","Entertainment",0,"Low",NA,"B"
"Male","Yes",43,"Yes","Healthcare",7,"High",2,"A"
"Female","No",18,"No","Healthcare",3,"Low",3,"B"
"Male","Yes",53,"Yes","Engineer",1,"Low",2,"A"
"Female","Yes",39,"No","Engineer",9,"Average",6,"B"
"Male","No",28,"Yes","Entertainment",NA,"Low",3,"B"
"Female","No",33,"Yes","Engineer",1,"Low",3,"A"
"Male","Yes",56,"Yes","Artist",NA,"Low",4,"A"
"Female","No",26,"No","Healthcare",10,"Low",1,"B"
"Male","No",21,"No","Healthcare",0,"Low",4,"B"
"Male","No",72,"No","Marketing",1,"Low",2,"B"
"Female","Yes",45,"No","Engineer",8,"Low",NA,"A"
"Female","No",45,"Yes","Healthcare",4,"Low",1,"A"
"Female","Yes",85,"Yes","Lawyer",0,"High",2,"A"
"Male","Yes",37,"Yes","Entertainment",NA,"Low",NA,"B"
"Female","No",33,"Yes","Engineer",1,"Low",2,"A"
"Male","Yes",61,"No","Healthcare",NA,"Low",3,"A"
"Female","No",37,"Yes","Engineer",0,"Low",1,"B"
"Female","Yes",47,"Yes","Marketing",1,"Low",1,"B"
"Male","No",27,"No","Healthcare",2,"Low",4,"B"
"Female","Yes",53,"No","Engineer",7,"Average",6,"A"
"Female","No",37,"No","Homemaker",1,"Low",1,"B"
"Male","No",25,"Yes","Entertainment",2,"Low",3,"B"
"Male","Yes",72,"Yes","Homemaker",9,"Low",NA,"A"
"Male","No",35,"Yes","Entertainment",1,"Low",3,"A"
"Female","Yes",31,"No","Artist",1,"Low",4,"B"
"Male","No",20,"No","Healthcare",7,"Low",3,"B"
"Male","Yes",25,"No","Entertainment",3,"Average",2,"B"
"Male","No",45,"Yes","Marketing",0,"Low",1,"B"
"Female","No",18,"No","Healthcare",8,"Low",5,"B"
"Male","No",18,"No","Healthcare",0,"Low",3,"B"
"Female","No",59,"Yes","Entertainment",1,"Low",1,"A"
"Male","No",22,"No","Healthcare",0,"Low",2,"B"
"Male","Yes",35,"No","Executive",0,"High",5,"A"
"Female","No",26,"No","Executive",8,"Low",3,"B"
"Male","Yes",43,"Yes","Doctor",1,"Low",4,"A"
"Male","No",41,"Yes","Entertainment",1,"Low",2,"A"
"Female","No",27,"No","Homemaker",8,"Low",NA,"B"
"Female","No",25,"No","Doctor",NA,"Low",4,"B"
"Male","No",18,"No","Healthcare",NA,"Low",5,"B"
"Male","Yes",71,"No","Marketing",1,"Low",1,"B"
"Female","No",32,"Yes","Entertainment",1,"Low",3,"A"
"Female","No",37,"Yes","Artist",9,"Low",1,"A"
"Female","",33,"No","Engineer",7,"High",5,"B"
"Male","Yes",51,"No","Artist",0,"Low",3,"A"
"Male","Yes",31,"Yes","Marketing",13,"High",4,"B"
"Male","No",39,"No","Engineer",1,"Low",1,"A"
"Male","",60,"Yes","Lawyer",1,"High",1,"B"
"Female","No",19,"No","Healthcare",NA,"Low",4,"B"
"Male","No",18,"No","Healthcare",0,"Low",6,"B"
"Female","No",20,"No","Healthcare",0,"Low",NA,"B"
"Male","No",19,"No","Healthcare",1,"Low",6,"B"
"Male","No",31,"Yes","Healthcare",0,"Low",4,"B"
"Male","No",37,"Yes","Healthcare",8,"Low",3,"B"
"Female","Yes",48,"No","Lawyer",1,"High",2,"B"
"Male","No",21,"No","Healthcare",0,"Low",4,"B"
"Male","No",19,"No","Healthcare",0,"Low",4,"B"
"Male","",61,"No","",0,"High",NA,"A"
"Male","No",31,"No","Healthcare",NA,"Low",3,"A"
"Male","Yes",70,"Yes","Lawyer",0,"Low",1,"A"
"Male","Yes",58,"Yes","Engineer",0,"Low",1,"B"
"Female","",58,"No","Marketing",14,"High",6,"B"
"Male","No",18,"Yes","Healthcare",1,"Low",2,"B"
